id,sample,label
0,czy wspólnota mieszkaniowa mo¿e podj¹æ uchwa³ê dotycz¹c¹ zakupu wodomierzy odczytywanych radiowo do lokali pokrywaj¹c ich koszty,prawo cywilne
1,czy wspólnota mieszkaniowa mo¿e odzyskaæ pomieszczenie gospodarcze jakie kroki wspólnota mieszkaniowa powinna podj¹æ aby odzyskaæ przedmiotowe pomieszczenie,prawo cywilne
2,czy uprawnienie mieszkañców wspólnoty mieszkaniowej jest zgodne z przepisami rodo,prawo administracyjne
3,czy budowa windy dla osób niepe³nosprawnych mo¿e zostaæ zakwalifikowana jako remont i zostaæ sfinansowana z funduszu remontowego du¿ej wspólnoty mieszkaniowej,prawo administracyjne
4,jakie czynnoœci powinna podj¹æ wspólnota mieszkaniowa za³o¿enie funduszu celowego w celu wybudowania windy dla osób niepe³nosprawnych czy wspólnota mieszkaniowa mo¿e uchwa³¹ wspólników przeksiêgowaæ œrodki z funduszu remontowego na fundusz celowy,prawo cywilne
5,czy nieruchomoœæ nabywa wspólnota mieszkaniowa czy te¿ jej poszczególni cz³onkowie kto bêdzie w³aœcicielem nabytej nieruchomoœci kto bêdzie zobowi¹zany do zap³aty podatku od nieruchomoœci czy na zakup nieruchomoœci wspólnota mo¿e przeznaczyæ œrodki zgromadzone na zaliczce remontowo  inwestycyjnej czy do nabycia nieruchomoœci wystarczy podjêcie uchwa³y wiêkszoœci¹ g³osów,prawo cywilne
6,jak¹ treœæ powinny zawieraæ przedmiotowe tablice informacyjne,prawo administracyjne
7,jakie koszty musi ponieœæ wspólnota mieszkaniowa w zwi¹zku ze z³o¿eniem wniosku o stwierdzenie nabycia spadku w którego sk³ad wchodzi nieruchomoœæ pozostaj¹ca we wspólnocie,prawo cywilne
8,czy z uwagi na uchybienie formalne podejmowanie uchwa³y poprzez indywidualne zbieranie g³osów od cz³onków wspólnoty mieszkaniowej które zosta³o dokonane przez inny podmiot ni¿ zarz¹d lub zarz¹dcê nieruchomoœci wspólnej istnieje przes³anka do stwierdzenia jej niewa¿noœci,prawo cywilne
9,czy pomimo tego i¿ uchwa³a zosta³a podjêta wiêkszoœci¹ g³osów to nadal istnieje obowi¹zek dalszego zbierania g³osów czy w treœci uchwa³y nale¿y zamieszczaæ rubrykê informuj¹c¹ o wstrzymaniu siê od g³osu w jaki sposób odpowiedzieæ na zarzut i¿ sposób zbierania g³osów móg³ mieæ istotny wp³yw na treœæ uchwa³y czy zarz¹d wspólnoty mieszkaniowej ma mo¿liwoœæ wyjœcia z inicjatyw¹ anulowania uchwa³y a nastêpnie zbierania g³osów pod identyczn¹ uchwa³¹ z zachowaniem wymogów formalnych,prawo cywilne
10,czy wspólnota mo¿e roz³o¿yæ w³aœcicielom lokali p³atnoœæ na raty czy z ka¿dym w³aœcicielem lokalu nale¿y zawrzeæ odrêbn¹ umowê,prawo cywilne
11,czy wspólnota mieszkaniowa mo¿e wprowadziæ do statutu wspólnoty zapis stosownie do którego ca³a instalacja centralnego ogrzewania wraz z grzejnikami w lokalach nale¿y do czêœci wspólnych,prawo cywilne
12,czy du¿a wspólnota mieszkaniowa sk³adaj¹ca siê z  lokali mo¿e podj¹æ uchwa³ê o powiêkszeniu wszystkich istniej¹cych w danym budynku balkonów w liczbie  ze œrodków zgromadzonych na funduszu remontowym,prawo cywilne
13,czy wspólnota mieszkaniowa mo¿e ¿¹daæ rozbiórki gara¿u,prawo administracyjne
14,czy spó³dzielnia mieszkaniowa mo¿e wybudowaæ wiatê œmietnikow¹ na dwóch dzia³kach na granicy czy w ka¿dym przypadku musi zachowaæ wymagan¹ odleg³oœæ  metrów od granicy ka¿dej dzia³ki,prawo administracyjne
15,czy dopuszczalne jest umieszczenie w uchwa³ach wspólnoty mieszkaniowej rubryki wstrzyma³ siê od g³osu i przyjêcie uchwa³y dotycz¹cej odliczenia od sumy wszystkich g³osów oddanych czêœci g³osów oddanych przez osoby wstrzymuj¹ce siê od g³osu,prawo cywilne
16,czy wspólnota mieszkaniowa powinna wyraziæ zgodê w formie uchwa³y na zlikwidowanie wewnêtrznej instalacji gazowej przez w³aœcicielkê lokalu mieszkalnego i zast¹pienie jej instalacj¹ elektryczn¹,prawo cywilne
17,czy wspólnota mo¿e sfinansowaæ monta¿ porêczy przy schodach chocia¿ schody s³u¿¹ do u¿ytku tylko jednego w³aœciciela,prawo cywilne
18,czy w³aœcicielka zobowi¹zana jest do uzyskania zgody wspólnoty mieszkaniowej na likwidacjê zabudowy okiennej czy wspólnota mieszkaniowa zobowi¹zana jest do podjêcia stosownej uchwa³y,prawo cywilne
19,czy osoba posiadaj¹ca kartê inwalidy zamieszkuj¹ca we wspólnocie ale niebêd¹ca w³aœcicielem mieszkania ani cz³onkiem wspólnoty ma prawo do parkowania swojego samochodu na miejscu parkingowym przeznaczonym dla osób niepe³nosprawnych czy osoba niebêd¹ca cz³onkiem wspólnoty która jest goœciem cz³onka wspólnoty posiadaj¹ca kartê inwalidy mo¿e parkowaæ samochód na zamkniêtym prywatnym terenie wspólnoty mieszkaniowej,prawo administracyjne
20,czy wspólnota mieszkaniowa powinna pokryæ koszty naprawy drzwi komórki lokatorskiej,prawo cywilne
21,czy wspólnota mieszkaniowa mo¿e odwo³aæ zarz¹dcê administratora bez zgody zarz¹du czy pod wypowiedzeniem umowy dla starego zarz¹dcy administratora i pod now¹ umow¹ z nowym zarz¹dc¹ administratorem mo¿e podpisaæ siê tylko  cz³onek zarz¹du,prawo cywilne
22,czy bior¹c pod uwagê przedstawiony stan faktyczny zabudowa istniej¹cego ogrodzenia innym ogrodzeniem wymaga zgody wspólnoty mieszkaniowej w przypadku odpowiedzi twierdz¹cej w jakiej formie powinna zostaæ wyra¿ona ww zgoda czy wyra¿enie wspomnianej zgody wymaga podjêcia uchwa³y przez w³aœcicieli lokali,prawo cywilne
23,czy osoba sprzedaj¹ca mieszkanie we wspólnocie mieszkaniowej jest zobowi¹zana do poinformowania potencjalnego nabywcy mieszkania o zad³u¿eniu wspólnoty czy zarz¹dca budynku wystawiaj¹c sprzedaj¹cemu zaœwiadczenie o niezaleganiu z zaliczkami wobec wspólnoty powinien w takim zaœwiadczeniu napisaæ ¿e wspólnota posiada d³ugi czy nowy w³aœciciel mieszkania w takiej wspólnocie mieszkaniowej jest zobowi¹zany do ponoszenia wszelkich kosztów które powsta³y w momencie kiedy nie by³ jeszcze cz³onkiem wspólnoty,prawo cywilne
24,czy zgodnie z przepisami rodo administrator mo¿e udostêpniæ cz³onkowi zarz¹du wyci¹gi z kont bankowych wspólnoty na których figuruj¹ numery kont bankowych imiê i nazwisko oraz adresy zamieszkania poszczególnych cz³onków wspólnoty mieszkaniowej,prawo administracyjne
25,czy firma z któr¹ skontaktowa³ siê zleceniodawca jest wiarygodna co mo¿e zrobiæ zleceniodawca aby chroniæ swoje dane osobowe które przekaza³ w wiadomoœci,prawo administracyjne
26,czy w zwi¹zku z koniecznoœci¹ dokonania podzia³u geodezyjnego uchwa³a w tym zakresie musi byæ podjêta przez  w³aœcicieli zgodnie z ustaw¹ o gospodarce nieruchomoœciami czy wystarczy wiêkszoœæ g³osów czy oprócz notarialnej zmiany wysokoœci udzia³ów nale¿y jeszcze przedsiêwzi¹æ jakieœ kroki,prawo cywilne
27,czy w³aœciciel lokalu u¿ytkowego magazynu w którym nie znajduje siê grzejnik zobowi¹zany jest do partycypacji w kosztach ogrzewania nieruchomoœci wspólnej,prawo cywilne
28,czy wspólnota ma obowi¹zek wymieniæ grzejnik w przedmiotowym lokalu,prawo cywilne
29,czy roszczenie z tytu³u poniesionych nak³adów na nieruchomoœæ w latach  uleg³o przedawnieniu czy dokonuj¹c wyceny nieruchomoœci rzeczoznawca bêdzie bra³ pod uwagê poniesione wydatki na remont grunty rolne na których rosn¹ drzewa samosiejki zburzon¹ oborê o powierzchni  m w jaki sposób bêdzie dokonana wycena nieruchomoœci,prawo cywilne
