nazwa, 2, 3, 4, 5, 6
klienci, klient:Sm1, subst:pl:nom.voc:m1, nazwa_pospolita, nazwa_pospolita, null
kliencie, klient:Sm1, subst:sg:loc:m1, nazwa_pospolita, nazwa_pospolita, null
kliencie, klient:Sm1, subst:sg:voc:m1, nazwa_pospolita, nazwa_pospolita, null
kliencie, klient:Sm2, subst:sg:loc:m2, nazwa_pospolita, nazwa_pospolita, null
kliencie, klient:Sm2, subst:sg:voc:m2, nazwa_pospolita, nazwa_pospolita, null
klient, klient:Sm1, subst:sg:nom:m1, nazwa_pospolita, nazwa_pospolita, null
klient, klient:Sm2, subst:sg:nom:m2, nazwa_pospolita, nazwa_pospolita, null
klienta, klient:Sm1, subst:sg:gen.acc:m1, nazwa_pospolita, nazwa_pospolita, null
klienta, klient:Sm2, subst:sg:gen.acc:m2, nazwa_pospolita, nazwa_pospolita, null
klientach, klient:Sm1, subst:pl:loc:m1, nazwa_pospolita, nazwa_pospolita, null
klientach, klient:Sm2, subst:pl:loc:m2, nazwa_pospolita, nazwa_pospolita, null
klientami, klient:Sm1, subst:pl:inst:m1, nazwa_pospolita, nazwa_pospolita, null
klientami, klient:Sm2, subst:pl:inst:m2, nazwa_pospolita, nazwa_pospolita, null
klientem, klient:Sm1, subst:sg:inst:m1, nazwa_pospolita, nazwa_pospolita, null
klientem, klient:Sm2, subst:sg:inst:m2, nazwa_pospolita, nazwa_pospolita, null
klientom, klient:Sm1, subst:pl:dat:m1, nazwa_pospolita, nazwa_pospolita, null
klientom, klient:Sm2, subst:pl:dat:m2, nazwa_pospolita, nazwa_pospolita, null
klientowi, klient:Sm1, subst:sg:dat:m1, nazwa_pospolita, nazwa_pospolita, null
klientowi, klient:Sm2, subst:sg:dat:m2, nazwa_pospolita, nazwa_pospolita, null
klientów, klient:Sm1, subst:pl:gen.acc:m1, nazwa_pospolita, nazwa_pospolita, null
klientów, klient:Sm2, subst:pl:gen:m2, nazwa_pospolita, nazwa_pospolita, null
klienty, klient:Sm1, depr:pl:nom.acc.voc:m2, nazwa_pospolita, nazwa_pospolita, null
klienty, klient:Sm2, subst:pl:nom.acc.voc:m2, nazwa_pospolita, nazwa_pospolita, null
klientkom, klientka, subst:pl:dat:f, nazwa_pospolita, nazwa_pospolita, null
klientek, klientka, subst:pl:gen:f, nazwa_pospolita, nazwa_pospolita, null
klientkami, klientka, subst:pl:inst:f, nazwa_pospolita, nazwa_pospolita, null
klientkach, klientka, subst:pl:loc:f, nazwa_pospolita, nazwa_pospolita, null
klientki, klientka, subst:pl:nom.acc.voc:f, nazwa_pospolita, nazwa_pospolita, null
klientkê, klientka, subst:sg:acc:f, nazwa_pospolita, nazwa_pospolita, null
klientce, klientka, subst:sg:dat.loc:f, nazwa_pospolita, nazwa_pospolita, null
klientki, klientka, subst:sg:gen:f, nazwa_pospolita, nazwa_pospolita, null
klientk¹, klientka, subst:sg:inst:f, nazwa_pospolita, nazwa_pospolita, null
klientka, klientka, subst:sg:nom:f, nazwa_pospolita, nazwa_pospolita, null
klientko, klientka, subst:sg:voc:f, nazwa_pospolita, nazwa_pospolita, null
